date,description,amount,category
2026-01-15,"REF POWERS, MARTINEZ AND RICHMOND 484 CT LAKE JULIE AR  74Q4",52.0,Restaurants
2024-06-27,POS CARIBOU COFFEE COLLINSBURY MH  21j7,11.23,Coffee Shops
2024-09-08,"INV ALLEN, NELSON AND HENRY 086 AK LAKE KIMCHESTER WA  00T1",4.71,Coffee Shops
2024-11-30,PURCHASE AUTHORIZED KELLY-REEVES 261 ID CHRISHAVEN NV  95I6,88.76,Restaurants
2024-03-14,INV T MOBILE EAST HEATHERSTAD VA  69p0,67.17,Utilities
2026-02-15,TXN HARRELL-KING 782 FM SOUTH KAYLABOROUGH WI  37R2,8.62,Coffee Shops
2024-08-23,POS FISHER INC 402 PR PORT PATRICKFORT IN  04g0,542.03,Electronics
2025-07-01,"DEBIT NELSON, RHODES AND PETERSON 048 KY POWELLBOROUGH ND  51A5",33.62,Gas
2025-03-01,PAYMENT CRUZ-GRIFFIN 775 KY EAST JESSICA AZ  54E9,41.21,Restaurants
2026-02-14,ONLINE PAYMENT FIGUEROA-BELL 248 NE JASONTOWN AR  86V1,203.63,Other
2024-04-17,PURCHASE AUTHORIZED PEARSON INC 323 SD LAKE MELISSABURY CA  54W9,17.56,Restaurants
2025-10-28,DEBIT HESS LTD 204 WI MURPHYTOWN FL  39n6,83.59,Restaurants
2024-12-20,POS AGUILAR LLC 109 PR EAST CONNIEBURY IL  60Y5,2.19,Public Transport
2026-01-02,"# JOHNSON, CHURCH AND MILLER 196 PA NORTH DEBRA CA  44t7",45.57,Clothing
2025-07-01,# GAP NEW CLAYTONTOWN AR  93y6,128.31,Clothing
2025-07-07,DEBIT SAVAGE PLC 401 MO OROZCOCHESTER AR  39q0,182.94,Utilities
2024-05-18,"PURCHASE AUTHORIZED RAY, WILSON AND BUTLER 146 KS NORTH KATHERINE NH  46g1",150.66,Groceries
2024-09-03,"REF MCCULLOUGH, RAMOS AND VASQUEZ 474 HI DAYBERG MD  59D3",310.17,Airfare
2025-11-09,POS ROGERS-GOMEZ 210 MP NORTH STEVENSIDE LA  09p6,20.19,Groceries
2024-04-09,ONLINE PAYMENT LE AND SONS 749 AL BOYDFORT KS  87Z2,474.42,Other
2024-08-13,PURCHASE AUTHORIZED CARPENTER-BRENNAN 156 GU MARYMOUTH VT  40Q7,49.15,Groceries
2025-06-22,POS TAYLOR-LANG 624 TN ODONNELLBURGH MS  34w6,403.85,Clothing
2024-09-12,PURCHASE AUTHORIZED RYAN-PETERSEN 579 IA LYNNMOUTH NM  60L0,66.05,Other
2025-11-17,DEBIT CHAPMAN-TURNER 036 CO CAROLYNTON PW  75K8,3.47,Other
2026-01-02,"ONLINE PAYMENT ROSE, COLE AND OWENS 597 OR NORTH JOSEPH WI  82r2",83.2,Groceries
2025-06-09,ONLINE PAYMENT HUNTER-WHITE 350 MT LAKE TRACIFORT LA  93J6,393.44,Other
2025-08-24,"PAYMENT MURRAY, COX AND DEAN 283 MS PORT ADAMTOWN CT  13x7",205.16,Other
2025-01-15,REF BOOKER-HUDSON 936 NJ NIELSENPORT PA  28b0,356.56,Other
2025-08-22,"ONLINE PAYMENT AVILA, YOUNG AND LOPEZ 767 ND HARPERBERG GU  67n9",111.43,Other
2024-08-11,DEBIT MILLER-KELLER 427 IL WEST MAURICE AK  89k6,6.89,Streaming
2025-11-23,"# SMITH, BRAY AND ADAMS 491 OR PORT PAMELAFURT MT  47V2",134.79,Utilities
2026-01-01,"PAYMENT REEVES, JOHNSON AND CHANDLER 480 NE SIMPSONPORT MS  14B6",248.61,Other
2025-01-07,"INV SAWYER, LAWRENCE AND WALLS 071 AK LAKE TAMMYTOWN NM  88v2",389.09,Other
2024-04-01,TXN PAGE AND SONS 862 AL HALEMOUTH MA  21V0,11.59,Restaurants
2025-11-16,TXN WHITNEY-KING 198 AZ KENDRABERG DE  60D3,9.75,Coffee Shops
2025-04-25,"ONLINE PAYMENT JONES, MITCHELL AND THOMPSON 693 MD ERICBURGH AS  85S3",145.07,Groceries
2024-07-06,INV SMITH GROUP 851 PR ANGELASTAD ND  27O6,3.89,Coffee Shops
2025-02-16,"TXN BARNETT, PATRICK AND COOPER 309 KS JASMINELAND AL  45e1",56.2,Groceries
2024-12-28,DEBIT SUAREZ-WILLIAMS 642 WI NORTH JIMMYBOROUGH NJ  96d2,14.84,Streaming
2025-06-24,TXN STOUT-GARCIA 928 CO WEST BRITTNEY VA  75Q7,13.54,Public Transport
2025-11-20,TXN BARRY LLC 686 MN WEST MICHAEL ME  58j5,11.54,Coffee Shops
2025-12-04,TXN MEDINA-MORALES 879 PA HUGHESSIDE AR  69F1,1573.37,Electronics
2025-08-28,"# VELEZ, DRAKE AND HOOPER 917 DE JESSICAFURT GA  68y6",20.29,Clothing
2026-01-24,PAYMENT BURCH AND SONS 777 MS JAMESMOUTH MP  80u9,295.35,Insurance
2025-07-10,PAYMENT STRICKLAND GROUP 630 FM COMPTONTOWN HI  60X6,179.92,Hotels
2024-06-30,"REF KING, GARRETT AND BAKER 474 NC LAKE MICHELLEBURY MO  04Z3",228.31,Utilities
2025-06-07,INV MORRISON-SCHNEIDER 060 MH PETERSONLAND MN  32u5,11.02,Streaming
2024-12-23,# MURPHY-SHAW 710 WY STACYBURGH TN  52h9,58.66,Other
2024-08-24,INV PETTY-WEBB 907 ND NORTH JERRYBOROUGH CT  07D5,137.72,Other
2025-10-09,PURCHASE AUTHORIZED APPLEBEES DIAZLAND DE  52w8,53.83,Restaurants
2024-09-21,# LAWRENCE AND SONS 111 IL SOUTH BRETT DC  87W4,118.72,Groceries
2025-05-08,"ONLINE PAYMENT ROBLES, JOHNSON AND ESCOBAR 549 FL SHERYLMOUTH NV  97H4",74.1,Groceries
2024-11-06,DEBIT SCHNEIDER-GALLAGHER 402 ID ERIKABERG NC  12o7,22.91,Public Transport
2025-05-05,"POS HAMMOND, ROLLINS AND STEPHENSON 996 OK ANTONIOBURY MI  72q3",97.41,Gas
2024-11-05,TXN REYNOLDS AND SONS 162 WA BRETTFURT KS  25N8,35.89,Public Transport
2025-11-09,ONLINE PAYMENT MORGAN LTD 522 MD HANNAHMOUTH KS  49Y7,12.31,Other
2025-11-10,TXN NAVARRO PLC 333 NY HENRYTOWN HI  60A7,251.83,Clothing
2025-05-24,PAYMENT COCHRAN LTD 867 PA SOUTH GARYBERG WY  67M0,98.21,Other
2024-06-01,REF JOHNSON-HARRINGTON 337 OR WEST KEVINBURY AL  59v8,243.66,Other
2024-07-24,"INV FISHER, RYAN AND SCHWARTZ 282 PW JACKBURY CT  47O4",380.29,Insurance
2024-03-20,# OWEN PLC 140 CO WEST AUSTINPORT VA  01K1,44.65,Groceries
2025-04-29,DEBIT BROWN LTD 584 OR CURTISPORT IL  95J2,299.64,Utilities
2025-09-16,DEBIT MATHEWS-SMITH 219 NJ EAST TREVOR NE  80v5,124.32,Restaurants
2024-04-04,"TXN WEBSTER, HOWARD AND ANDERSON 967 ND JAMESTON AK  47H1",57.79,Groceries
2025-12-03,# SAVAGE-BECK 315 MS EAST JOSHUA ND  11S9,38.0,Groceries
2025-10-30,PURCHASE AUTHORIZED ROLLINS-WILSON 235 AR ANTHONYMOUTH UT  71L0,288.1,Other
2025-09-19,"PURCHASE AUTHORIZED ROBERTS, NELSON AND GRIFFIN 950 MH DANATOWN SD  30H3",6.12,Groceries
2025-09-27,TXN ARELLANO GROUP 538 KY LAKE MEGAN LA  47m2,42.48,Other
2026-01-26,ONLINE PAYMENT HOLMES-WONG 851 NH PORT PATRICK MN  20s0,211.08,Utilities
2024-08-24,"REF DAVIS, BRYANT AND LEWIS 990 WV AMBERHAVEN VA  40R1",124.98,Clothing
2024-03-18,PURCHASE AUTHORIZED AUSTIN-ALEXANDER 114 FL WEST ROBERT MP  52h9,70.6,Restaurants
2024-03-12,ONLINE PAYMENT CRAWFORD-MARSHALL 660 PW HERNANDEZTON KS  72H6,269.29,Utilities
2025-08-19,# DENNIS INC 330 NJ PORT CRAIG SC  03Q7,108.42,Hotels
2025-01-03,PURCHASE AUTHORIZED DAUGHERTY AND SONS 455 LA LAKE CASSANDRA AK  95Q0,499.59,Other
2025-12-11,"PAYMENT ZIMMERMAN, KIRBY AND HUFF 475 FM RENEEHAVEN FL  46j6",53.87,Groceries
2025-03-11,# LARA-GEORGE 744 IN LAKE PAMELA WA  91O9,10.66,Coffee Shops
2025-02-08,"PAYMENT ZUNIGA, BARNES AND BECKER 507 AZ FERNANDOTOWN MO  59S8",45.35,Gas
2024-05-16,PURCHASE AUTHORIZED WALLACE-ROBERTSON 466 HI SOUTH STEPHANIEBERG IL  36q6,2.38,Public Transport
2024-11-27,"PAYMENT NOLAN, CAMACHO AND HERNANDEZ 172 SD LAKE DANIELMOUTH AZ  08v2",12.75,Coffee Shops
2025-02-04,"DEBIT HINTON, HOOVER AND HENSLEY 785 PR LARRYSHIRE VI  24i6",34.23,Restaurants
2025-10-22,"TXN LAMB, MILLER AND PARKER 027 NE ROBERTBURGH WY  07n0",13.34,Coffee Shops
2024-06-19,PAYMENT MACYS WEST TODDPORT PR  09i0,474.53,Clothing
2025-08-20,PAYMENT BOWMAN-HAYES 139 GU GAILSIDE GA  64p8,8.51,Streaming
2025-05-15,REF COBB PLC 097 NH EAST JOSEPH MT  45k0,119.56,Restaurants
2025-05-20,ONLINE PAYMENT PEREZ LLC 756 TN JAMIEVILLE KS  58l8,189.23,Groceries
2025-10-17,"INV ALLEN, EDWARDS AND TRAN 748 TN TRANMOUTH MN  45V8",97.5,Groceries
2025-02-13,PURCHASE AUTHORIZED MAYNARD-TAYLOR 763 CO DAVISCHESTER PW  80a2,165.21,Groceries
2025-09-26,PAYMENT CHARLES AND SONS 942 PR WILSONFORT FL  46A0,39.97,Restaurants
2025-03-04,REF RODRIGUEZ PLC 602 DC REBECCALAND AZ  07h1,161.6,Insurance
